Ref,Val,Package,PosX,PosY,Rot,Side
"U1","fablab","fablab",-69.069998,-26.369999,0.000000,bottom
"U1","fablab","fablab",-38.959998,-26.369999,0.000000,bottom
"U1","fablab","fablab",-38.959998,-51.369999,0.000000,bottom
"U1","fablab","fablab",-69.069998,-51.369999,0.000000,bottom
"U1","fablab","fablab",-69.069998,-38.869999,0.000000,bottom
"U1","fablab","fablab",-8.849998,-38.869999,0.000000,bottom
"U1","fablab","fablab",-69.069998,-1.369999,0.000000,bottom
"U1","fablab","fablab",-38.959998,-1.369999,0.000000,bottom
"U1","fablab","fablab",-38.959998,-63.869999,0.000000,bottom
"U1","fablab","fablab",-8.849998,-63.869999,0.000000,bottom
"U1","fablab","fablab",-8.849998,-26.369999,0.000000,bottom
"U1","fablab","fablab",-38.959998,-38.869999,0.000000,bottom
"U1","fablab","fablab",-8.849998,-51.369999,0.000000,bottom
"U1","fablab","fablab",-38.959998,-13.869999,0.000000,bottom
"U1","fablab","fablab",-8.849998,-13.869999,0.000000,bottom
"U1","fablab","fablab",-8.849998,-1.369999,0.000000,bottom
"U1","fablab","fablab",-69.069998,-13.869999,0.000000,bottom
"U1","fablab","fablab",-69.069998,-63.869999,0.000000,bottom
"U2","sc","smartcitizen",-54.599998,-68.429999,0.000000,bottom
"U2","sc","smartcitizen",-24.489998,-5.929999,0.000000,bottom
"U2","sc","smartcitizen",-54.599998,-30.929999,0.000000,bottom
"U2","sc","smartcitizen",-54.599998,-5.929999,0.000000,bottom
"U2","sc","smartcitizen",-84.709998,-68.429999,0.000000,bottom
"U2","sc","smartcitizen",-84.709998,-30.929999,0.000000,bottom
"U2","sc","smartcitizen",-84.709998,-18.429999,0.000000,bottom
"U2","sc","smartcitizen",-24.489998,-43.429999,0.000000,bottom
"U2","sc","smartcitizen",-24.489998,-55.929999,0.000000,bottom
"U2","sc","smartcitizen",-24.489998,-68.429999,0.000000,bottom
"U2","sc","smartcitizen",-54.599998,-18.429999,0.000000,bottom
"U2","sc","smartcitizen",-24.489998,-30.929999,0.000000,bottom
"U2","sc","smartcitizen",-84.709998,-55.929999,0.000000,bottom
"U2","sc","smartcitizen",-54.599998,-55.929999,0.000000,bottom
"U2","sc","smartcitizen",-84.709998,-5.929999,0.000000,bottom
"U2","sc","smartcitizen",-84.709998,-43.429999,0.000000,bottom
"U2","sc","smartcitizen",-54.599998,-43.429999,0.000000,bottom
"U2","sc","smartcitizen",-24.489998,-18.429999,0.000000,bottom
