Qty.,Item,Major Provider,~ PPU (€),~ PPS (€)
1,500 Density HDPE body (6 blue + 2 white layers),Manifiesto Design,320,320
1,3mm thick PET-G top cover,Manifiesto Design,0,0
12,M4 Brass barbed expansion Inserts,Manifiesto Design,0,0
3,M3 Brass barbed expansion Inserts,Manifiesto Design,0,0
8,M2.5 Brass barbed expansion Inserts,Manifiesto Design,0,0
,,,,
6, 70cm long EPDM 5mm O-ring cord piece	,Manifiesto Design,,
,,,,
3,DIN 912 M4 x 45 INOX screw,Ferretería Bonet,0.151,0.453
3,DIN 912 M4 x 30 INOX screw,Ferretería Bonet,0.192,0.576
3,DIN 912 M4 x 20 INOX screw,Ferretería Bonet,0.034,0.102
3,ISO 7380 M4 x 20 INOX screw,Ferretería Bonet,0.12,0.36
,,,,
4,T-Slot Nut EU30-M6,Amazon,0.46,1.84
4,DIN933 M6 x 10 INOX Screw,Ferretería Bonet,0.154,0.616
4,DIN933 M6 x 15 INOX  Screw,Ferretería Bonet,0.146,0.584
4,DIN933 M6 x 20 INOX Screw,Ferretería Bonet,0.161,0.644
4,DIN933 M6 x 25 INOX Screw,Ferretería Bonet,0.185,0.74
4,DIN9021 M6 INOX  Washer,Ferretería Bonet,0.059,0.236
2,"30 cm piece of Galvanized Steel Perforated Tape 17 mm x 0,8 mm x 10 m",Amazon,0.53,1.06
,,,,
1,16x1.5mm Plastic Cable Glands,Sesaelec,0.47,0.47
1,"QVT 20 - Cable Grommet M20 x 1.5, Icotek",Distrelec,7.66,7.66
1,QT4,Distrelec,1.3,1.3
,QTB (Blind),Distrelec,,
,,,,
1,SCK PM board,SEEED Studio,22.99,22.99
2,Plantower PMS5003,Aliexpress,12.17,24.34
2,SCK PM Board to Plantower PMS5003 cable,Aliexpress,0,0
1,SCK Gas Sensor Board,SEEED Studio,129,129
1,Alphasense CO-B4,Alphasese LTD,53,53
1,Alphasense NO2-B43F,Alphasese LTD,53,53
1,Alphasense OX-B431,Alphasese LTD,58,58
1,Seeed Studio Universal 4 Pin Buckled 5 cm cable,SEEED Studio,0.324,0.324
1,Seeed Studio Universal 4 Pin Buckled 20 cm cable,SEEED Studio,0.494,0.494
1,SCK Data Board,SEEED Studio,70,70
1,SCK Urban Sensor Board,SEEED Studio,0,0
1,SD card 512kB,Amazon,0,0
,,,,
1,One Wire Sensor,SEEED Studio,8.68,8.68
1,15 cm long Aluminium Tube int. Ø8 x ext. Ø10,Servei Estacio,,0
,,,,
3,Nylon Cheese Head Machine Screws M3 x 6,Farnell,0.065,0.195
5,Nylon Cheese Head Machine Screws M2.5 x 6,Farnell,0.076,0.38
3,Nylon Cheese Head Machine Screws M2.5 x 12,Farnell,0.076,0.228
,,,,
1,2m USB-A to angled microUSB-B cable,Tiendacables,5.49,5.49
1,5V 1500 mA USB Power adapter,Amazon,5.99,5.99
, ,,,
1,3D Printed Frame,Aitor,,0
3,3D Printed spacers,Aitor,,0
1,O-ring NBR 52x2,Cauchos Barna,0.25,0.25
2,8-pin Stackable Female Header,SparkFun ,0.6,1.2
,,,,
1,8000mAh LiPo Battery,Aliexpress,24.41,24.41
1,6000mAh LiPo Battery,Bricogeek,,
,,,,
8,10gr Silica Gel Bags,Cablematic,0.15,1.2
,,,,
1,Loctite,Amazon,7.03,7.03
1,Nail Polish,Chinese Shop,2,2
1,Jintsu Glue,Ferretería Bonet,4.96,4.96
,,,,
1,2.5 mm Allen key,Ferretería Bonet,0.312,0.312
1,3 mm Allen Key,Ferretería Bonet,0.36,0.36
1,10-11 Double Open Ended Spanner,Amazon,3.4,3.4
,,,,
1,Buck-Boot for PV panel!?!?!?,Adafruit,,0
1,220 AC/DC power adapter!?!?!,Aliexpress,2.61,2.61
1,2 Pin Screw Terminal,Amazon,,
1,90º angle usb,Aliexpress,,0
,,,,
1,iScape Triangular Sticker,Camaloon,,0
1,"""Funded by"" Sticker",Camaloon,,0
1,Serial Number Sticker,Camaloon,,0
